ID,Name,Municipality_ID,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
65,ALPHEN AAN DEN RIJN,484,2021-10-06 18:34:52,System - import,2021-10-06 18:34:52,System - import,0
66,ALPHEN GLD,668,2021-10-06 18:35:04,System - import,2021-10-06 18:35:04,System - import,0
67,ALPHEN NB,1723,2021-10-06 18:35:05,System - import,2021-10-06 18:35:05,System - import,0
68,ALTEVEER GEM DE WOLDEN,1690,2021-10-06 18:35:06,System - import,2021-10-06 18:35:06,System - import,0
69,ALTEVEER GEM HOOGEVEEN,118,2021-10-06 18:35:06,System - import,2021-10-06 18:35:06,System - import,0
70,ALTEVEER GEM NOORDENVELD,1699,2021-10-06 18:35:06,System - import,2021-10-06 18:35:06,System - import,0
71,ALTEVEER GN,37,2021-10-06 18:35:06,System - import,2021-10-06 18:35:06,System - import,0
72,ALTFORST,668,2021-10-06 18:35:07,System - import,2021-10-06 18:35:07,System - import,0
73,AMBT DELDEN,1735,2021-10-06 18:35:07,System - import,2021-10-06 18:35:07,System - import,0
74,AMEIDE,707,2021-10-06 18:35:08,System - import,2021-10-06 18:35:08,System - import,0
75,AMEN,1680,2021-10-06 18:35:08,System - import,2021-10-06 18:35:08,System - import,0
76,AMERICA,1507,2021-10-06 18:35:08,System - import,2021-10-06 18:35:08,System - import,0
77,AMERONGEN,306,2021-10-06 18:35:09,System - import,2021-10-06 18:35:09,System - import,0
78,AMERSFOORT,307,2021-10-06 18:35:10,System - import,2021-10-06 18:35:10,System - import,0
79,AMMERSTOL,491,2021-10-06 18:35:38,System - import,2021-10-06 18:35:38,System - import,0
80,AMMERZODEN,263,2021-10-06 18:35:38,System - import,2021-10-06 18:35:38,System - import,0
81,AMSTELHOEK,736,2021-10-06 18:35:39,System - import,2021-10-06 18:35:39,System - import,0
82,AMSTELVEEN,362,2021-10-06 18:35:40,System - import,2021-10-06 18:35:40,System - import,0
83,AMSTENRADE,962,2021-10-06 18:35:58,System - import,2021-10-06 18:35:58,System - import,0
84,AMSTERDAM,363,2021-10-06 18:35:58,System - import,2021-10-06 18:35:58,System - import,0
85,AMSTERDAM ZUIDOOST,363,2021-10-06 18:38:51,System - import,2021-10-06 18:38:51,System - import,0
